id,file,line,module,ui_surface,current_text_or_value,legacy_issue,severity,active_for_defense,recommended_action
1,/root/autodl-tmp/code/app_fixed.py,98-113,app_fixed.py,method_registry,"Qwen-LoRA★; LoRA+GAT★★; R1-LoRA★; Sparse-LoRA★★; Sparse-LoRA+GAT★★★","Paper-facing method names still use old starred labels instead of frozen final naming led by Sparse-LoRA-v2.",high,yes,"Rename all paper-facing labels to final names; keep GAT only as appendix/exploratory labels."
2,/root/autodl-tmp/code/app_fixed.py,143-146,app_fixed.py,method_highlight_logic,"_IS_OURS => any('Sparse-LoRA' or 'LoRA+GAT')","Highlight logic still treats GAT families as core 'our method' rows.",high,yes,"Highlight only Sparse-LoRA-v2 in default defense mode; move GAT highlighting to exploratory mode."
3,/root/autodl-tmp/code/app_fixed.py,2225,app_fixed.py,header_subtitle,"Qwen/DeepSeek-R1 SFT","Header story is still centered on generic SFT family, not the frozen final main method Sparse-LoRA-v2.",medium,yes,"Rewrite subtitle around Sparse-LoRA-v2 plus scene-profile protocol."
4,/root/autodl-tmp/code/app_fixed.py,2239-2258,app_fixed.py,sidebar_model_select,"Qwen-Sparse-LoRA-v2","Visible default model name is not the exact paper-facing final method name Sparse-LoRA-v2.",medium,yes,"Rename visible option to Sparse-LoRA-v2; keep backend/base-model note hidden or secondary."
5,/root/autodl-tmp/code/app_fixed.py,2280-2305,app_fixed.py,sidebar_gat_controls,"GAT 图注意力增强 / 启用 LLM-GAT 级联","GAT is still presented as a first-class enhancement block although final positioning is appendix/exploratory only.",high,yes,"Hide by default or mark exploratory_only/appendix only."
6,/root/autodl-tmp/code/app_fixed.py,1500-1549,app_fixed.py,compare_data_normalization,"plan_ms / time_s / sumo_time compatibility path","Compare UI still depends on legacy timing aliases and folds them into one display field.",high,yes,"Require protocolized fields or visibly flag the source as legacy before display."
7,/root/autodl-tmp/code/app_fixed.py,1754-1756,app_fixed.py,compare_scatter_axis,"推理速度 vs 约束符合率 / 推理时间 (s)","Underlying field is planning_time_s, but the UI labels it as inference time.",high,yes,"Rename to Planning Time (s), or split model_infer_time_s and route_solve_time_s explicitly."
8,/root/autodl-tmp/code/app_fixed.py,1883-1886,app_fixed.py,compare_table_columns,"SUMO时间(s)↓ / 推理耗时(s)↓","Table still uses SUMO/推理 wording instead of Travel Time (s) and Planning Time (s).",high,yes,"Rename columns to final protocol terms."
9,/root/autodl-tmp/code/app_fixed.py,3052-3079,app_fixed.py,compare_table_highlight_and_legend,"绿底：GAT级联类方法","Visual highlight promotes GAT rows as upgraded mainline methods.",high,yes,"Remove default GAT green highlight; show GAT only under exploratory_only grouping."
10,/root/autodl-tmp/compare/run_compare.py,508-510,run_compare.py,compare_runner_model_path,"/root/autodl-tmp/model_merged_sparse","UI compare runner still loads old sparse checkpoint instead of frozen stage4_fix sparse upstream.",critical,yes,"Switch compare runner to /root/autodl-tmp/model_merged_sparse_v2_stage4_fix."
11,/root/autodl-tmp/compare/run_compare.py,632-637,run_compare.py,compare_runner_method_labels,"Qwen-LoRA★ / LoRA+GAT★★ / R1-LoRA★ / Sparse-LoRA★★","Compare runner still emits old method labels.",critical,yes,"Emit Sparse-LoRA-v2 as the mainline label; move GAT rows to appendix/exploratory naming only."
12,/root/autodl-tmp/compare/run_compare.py,769-793,run_compare.py,compare_runner_gat_mainline,"Sparse-LoRA+GAT★★★（本文终极级联方法）","Generator still frames sparse+GAT as the terminal/core method.",critical,yes,"Demote to exploratory_only appendix row or remove from default compare generation."
13,/root/autodl-tmp/compare/run_compare.py,817-818;857-860,run_compare.py,compare_runner_metric_fields,"time_s / sumo_time / planning_ms","Runner still writes legacy timing fields instead of planning_time_s, model_infer_time_s, route_solve_time_s, and travel_time_s.",critical,yes,"Regenerate compare artifacts using canonical protocol fields."
14,/root/autodl-tmp/code/smallnet_baseline.py,68-71,smallnet_baseline.py,smallnet_runner_model_specs,"Sparse-LoRA★★ -> /root/autodl-tmp/model_merged_sparse","SmallNet runner still uses old sparse model path and old label.",high,yes,"Switch to Sparse-LoRA-v2 on stage4_fix, or hide the button until updated."
15,/root/autodl-tmp/results/runs/20260401T100154Z__experiment_mode__compare_multi_method__llm_compare/compare_results.json,n/a,selected_compare_artifact,compare_results_source,"Sparse-LoRA★★ / Sparse-LoRA+GAT★★★ with time_s and sumo_time only","Current app selection resolves to a legacy compare artifact with old names and legacy timing fields.",high,yes,"Blacklist this artifact for defense mode and regenerate a protocolized compare bundle."
16,/root/autodl-tmp/results/smallnet_results.json,n/a,smallnet_artifact,smallnet_results_source,"Sparse-LoRA★★","Current displayed SmallNet artifact still uses old sparse label.",medium,yes,"Regenerate after updating smallnet_baseline.py, or hide current SmallNet result block."
17,/root/autodl-tmp/code/ui.py,12-69,ui.py,dormant_legacy_ui,"城市交通信号灯智能调度系统 / LLM-R1-SFT / 平均延迟 / 运行时间","Dormant alternative UI keeps a different product story and generic metrics; not wired today but risky if revived.",low,no,"Mark deprecated or archive explicitly."
