pack_sample_id,pack_split,bucket,source_type,source_detail,origin_dataset_root,origin_split,origin_sample_id,seed_sample_id,changed_edge_count,relief_severity,is_failure_library_match,is_new_supervision,can_direct_stage4b,text,label
train:0,simple_local_relief_pack_train,relief_normal_single_edge,historical_retrieval,historical_train,/root/autodl-tmp/dataset_sparse_v2,train,train:1209,train:1209,1,mild,False,True,True,常态或局部短时事件：经八路农业路至红专路段向北畅通无阻,"<think>
scene=simple_local
anchor_count=1
simple_local_v2=输出所有 active changed-event anchors，含异常与恢复/畅通 side event。
</think>
ANCHOR|ROAD=经八路|DIR=向北|RANGE=农业路至红专路|LEVEL=畅通"
train:1,simple_local_relief_pack_train,relief_normal_single_edge,historical_retrieval,historical_train,/root/autodl-tmp/dataset_sparse_v2,train,train:1024,train:1024,1,mild,False,True,True,经三路政七街至黄河路段向南车流顺畅,"<think>
scene=simple_local
anchor_count=1
simple_local_v2=输出所有 active changed-event anchors，含异常与恢复/畅通 side event。
</think>
ANCHOR|ROAD=经三路|DIR=向南|RANGE=政七街至黄河路|LEVEL=畅通"
train:2,simple_local_relief_pack_train,relief_normal_single_edge,historical_retrieval,historical_train,/root/autodl-tmp/dataset_sparse_v2,train,train:1234,train:1234,1,mild,False,True,True,常态或局部短时事件：经八路政七街至黄河路段向南畅通无阻,"<think>
scene=simple_local
anchor_count=1
simple_local_v2=输出所有 active changed-event anchors，含异常与恢复/畅通 side event。
</think>
ANCHOR|ROAD=经八路|DIR=向南|RANGE=政七街至黄河路|LEVEL=畅通"
train:3,simple_local_relief_pack_train,relief_normal_single_edge,historical_retrieval,historical_train,/root/autodl-tmp/dataset_sparse_v2,train,train:1112,train:1112,1,mild,False,True,True,当前需要根据常态或局部短时事件进行路径规划。 请优先按当前生效约束理解，不要被已解除或背景信息误导。 农业路经三路至经六路段向东车流顺畅 有市民反映支路口偶尔压车，不过主约束仍以当前干道情况为准。 气象部门提示傍晚仍有小雨，但目前并未形成新增积水。 部分播报会提到周边商圈或停车场信息，但主判断仍以道路方向、区间、时段和传播范围为核心。,"<think>
scene=simple_local
anchor_count=1
simple_local_v2=输出所有 active changed-event anchors，含异常与恢复/畅通 side event。
</think>
ANCHOR|ROAD=农业路|DIR=向东|RANGE=经三路至经六路|LEVEL=畅通"
train:4,simple_local_relief_pack_train,relief_normal_single_edge,historical_retrieval,historical_train,/root/autodl-tmp/dataset_sparse_v2,train,train:1246,train:1246,1,mild,False,True,True,当前需要根据常态或局部短时事件进行路径规划。 请优先按当前生效约束理解，不要被已解除或背景信息误导。 政七街经一路至经三路段向西畅通无阻 其余未明确提及路段按常态理解，不要额外扩大影响范围。,"<think>
scene=simple_local
anchor_count=1
simple_local_v2=输出所有 active changed-event anchors，含异常与恢复/畅通 side event。
</think>
ANCHOR|ROAD=政七街|DIR=向西|RANGE=经一路至经三路|LEVEL=畅通"
train:5,simple_local_relief_pack_train,relief_normal_single_edge,historical_retrieval,historical_train,/root/autodl-tmp/dataset_sparse_v2,train,train:1186,train:1186,1,mild,False,True,True,当前需要根据常态或局部短时事件进行路径规划。 请优先按当前生效约束理解，不要被已解除或背景信息误导。 红专路经六路至经八路段向西车流顺畅 有市民反映支路口偶尔压车，不过主约束仍以当前干道情况为准。 交警提醒周边停车场正在分流车辆，不过主路仍可通行。 部分播报会提到周边商圈或停车场信息，但主判断仍以道路方向、区间、时段和传播范围为核心。,"<think>
scene=simple_local
anchor_count=1
simple_local_v2=输出所有 active changed-event anchors，含异常与恢复/畅通 side event。
</think>
ANCHOR|ROAD=红专路|DIR=向西|RANGE=经六路至经八路|LEVEL=畅通"
train:6,simple_local_relief_pack_train,relief_normal_single_edge,historical_retrieval,historical_train,/root/autodl-tmp/dataset_sparse_v2,train,train:1521,train:1521,1,mild,False,True,True,政七街经八路至花园路段向东畅通无阻,"<think>
scene=simple_local
anchor_count=1
simple_local_v2=输出所有 active changed-event anchors，含异常与恢复/畅通 side event。
</think>
ANCHOR|ROAD=政七街|DIR=向东|RANGE=经八路至花园路|LEVEL=畅通"
train:7,simple_local_relief_pack_train,relief_normal_single_edge,historical_retrieval,historical_train,/root/autodl-tmp/dataset_sparse_v2,train,train:1198,train:1198,1,mild,False,True,True,红专路花园路至未来路段向东车流顺畅,"<think>
scene=simple_local
anchor_count=1
simple_local_v2=输出所有 active changed-event anchors，含异常与恢复/畅通 side event。
</think>
ANCHOR|ROAD=红专路|DIR=向东|RANGE=花园路至未来路|LEVEL=畅通"
train:8,simple_local_relief_pack_train,relief_normal_single_edge,historical_retrieval,historical_train,/root/autodl-tmp/dataset_sparse_v2,train,train:1524,train:1524,1,mild,False,True,True,纬五路经八路至花园路段向西畅通无阻,"<think>
scene=simple_local
anchor_count=1
simple_local_v2=输出所有 active changed-event anchors，含异常与恢复/畅通 side event。
</think>
ANCHOR|ROAD=纬五路|DIR=向西|RANGE=经八路至花园路|LEVEL=畅通"
train:9,simple_local_relief_pack_train,relief_normal_single_edge,historical_retrieval,historical_train,/root/autodl-tmp/dataset_sparse_v2,train,train:1199,train:1199,1,mild,False,True,True,未来路红专路至政七街段向南车流顺畅,"<think>
scene=simple_local
anchor_count=1
simple_local_v2=输出所有 active changed-event anchors，含异常与恢复/畅通 side event。
</think>
ANCHOR|ROAD=未来路|DIR=向南|RANGE=红专路至政七街|LEVEL=畅通"
