sample_id,split,split_index,scene_type,length_bucket,gt_changed_edge_count,gt_target_edge_count,no_anchor,parse_fail,strict_parse_fail,parse_confidence,anchor_count,mapped_edge_count,infer_time_s,sparse_dense_weight_mae,sparse_MAE_on_changed_edges,sparse_MAE_on_target_edges,sparse_gt_changed_edge_recall,sparse_target_recall,main_method,main_dense_weight_mae,main_MAE_on_changed_edges,main_MAE_on_target_edges,main_gt_changed_edge_recall,main_target_recall,main_dense_mae_delta_vs_sparse,main_changed_mae_delta_vs_sparse,main_target_mae_delta_vs_sparse,main_gt_changed_recall_delta_vs_sparse,main_target_recall_delta_vs_sparse,appendix_method,appendix_dense_weight_mae,appendix_MAE_on_changed_edges,appendix_MAE_on_target_edges,appendix_gt_changed_edge_recall,appendix_target_recall,appendix_dense_mae_delta_vs_sparse,appendix_changed_mae_delta_vs_sparse,appendix_target_mae_delta_vs_sparse,appendix_gt_changed_recall_delta_vs_sparse,appendix_target_recall_delta_vs_sparse,prediction_raw_preview,constraint_text
val_anti_truncation:0,val_anti_truncation,0,temporal_switch,long,2,2,False,False,False,0.98,1,2,1.0898,0.0,0.0,0.0,100.0,100.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.1958,0.0,0.0,100.0,100.0,0.1958,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2377,2.01,2.01,100.0,100.0,0.2377,2.01,2.01,0.0,0.0,<think>\nscene=temporal_switch\nanchor_count=1\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nANCHOR|ROAD=黄河路|DIR=向西|RANGE=经三路至经八路|LEVEL=严重拥堵,当前需要根据时段切换约束进行路径规划。 请优先按当前生效约束理解，不要被已解除或背景信息误导。 早高峰07:00-09:00黄河路向西车流积压严重拥堵；黄河路向西09:30后恢复正常 若描述里同时出现历史状态和当前状态，应以当前时段为准。 其余未明确提及路段按常态理解，不要额外扩大影响范围。
val_anti_truncation:1,val_anti_truncation,1,compound_disaster,long,5,5,False,False,False,0.98,3,5,1.9847,0.0,0.0,0.0,100.0,100.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.1896,0.0,0.0,100.0,100.0,0.1896,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2425,1.016,1.016,100.0,100.0,0.2425,1.016,1.016,0.0,0.0,<think>\nscene=compound_disaster\nanchor_count=3\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nANCHOR|ROAD=经六路|DIR=向北|RANGE=农业路至政七街|LEVEL=封闭\nANCHOR|ROAD=红专路|DIR=向东|RANGE=经八路至未来路|LEVEL=严重拥堵\nANCHOR|ROAD=政七街|DIR=向西|RANGE=花园路至未来路|LEVEL=中度拥堵,当前需要根据多事件复合灾害进行路径规划。 请优先按当前生效约束理解，不要被已解除或背景信息误导。 经六路农业路至政七街段向北临时封闭管制；红专路经八路至未来路段向东排队长度明显增加；政七街花园路至未来路段向西排队通行效率下降 其余未明确提及路段按常态理解，不要额外扩大影响范围。
val_anti_truncation:10,val_anti_truncation,10,temporal_switch,long,0,0,False,False,False,0.98,1,2,1.0879,0.1146,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.3104,0.0,0.0,0.0,0.0,0.1958,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2685,0.0,0.0,0.0,0.0,0.1539,0.0,0.0,0.0,0.0,<think>\nscene=temporal_switch\nanchor_count=1\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nANCHOR|ROAD=经八路|DIR=向北|RANGE=红专路至黄河路|LEVEL=严重拥堵,当前需要根据时段切换约束进行路径规划。 请优先按当前生效约束理解，不要被已解除或背景信息误导。 早高峰07:00-09:00经八路向北车流积压严重拥堵；经八路向北当前时间10:15，已恢复正常 若描述里同时出现历史状态和当前状态，应以当前时段为准。 其余未明确提及路段按常态理解，不要额外扩大影响范围。
val_anti_truncation:100,val_anti_truncation,100,propagation_range,long,5,5,False,False,False,0.98,2,5,1.5356,0.0,0.0,0.0,100.0,100.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.1896,0.0,0.0,100.0,100.0,0.1896,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2646,1.44,1.44,100.0,100.0,0.2646,1.44,1.44,0.0,0.0,<think>\nscene=propagation_range\nanchor_count=2\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nANCHOR|ROAD=经六路|DIR=向北|RANGE=红专路至黄河路|LEVEL=严重拥堵\nANCHOR|ROAD=黄河路|DIR=向东|RANGE=经三路至花园路|LEVEL=中度拥堵,当前需要根据传播范围与外溢进行路径规划。 请优先按当前生效约束理解，不要被已解除或背景信息误导。 经六路红专路至黄河路段向北车流积压严重拥堵；黄河路经三路至花园路段向东排队通行效率下降 若有排队外溢，应注意主事件与波及范围不是同一强度。 其余未明确提及路段按常态理解，不要额外扩大影响范围。
val_anti_truncation:101,val_anti_truncation,101,propagation_range,long,5,5,False,False,False,0.98,2,5,1.54,0.0,0.0,0.0,100.0,100.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.1896,0.0,0.0,100.0,100.0,0.1896,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2117,0.424,0.424,100.0,100.0,0.2117,0.424,0.424,0.0,0.0,<think>\nscene=propagation_range\nanchor_count=2\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nANCHOR|ROAD=黄河路|DIR=向西|RANGE=经三路至花园路|LEVEL=封闭\nANCHOR|ROAD=未来路|DIR=向北|RANGE=政七街至纬五路|LEVEL=中度拥堵,当前需要根据传播范围与外溢进行路径规划。 请优先按当前生效约束理解，不要被已解除或背景信息误导。 黄河路经三路至花园路段向西临时封闭管制；未来路政七街至纬五路段向北排队通行效率下降 若有排队外溢，应注意主事件与波及范围不是同一强度。 其余未明确提及路段按常态理解，不要额外扩大影响范围。
val_anti_truncation:102,val_anti_truncation,102,temporal_switch,noisy_long,0,0,False,False,False,0.98,1,1,1.0838,0.0573,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.2552,0.0,0.0,0.0,0.0,0.1979,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2343,0.0,0.0,0.0,0.0,0.177,0.0,0.0,0.0,0.0,<think>\nscene=temporal_switch\nanchor_count=1\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nANCHOR|ROAD=花园路|DIR=向南|RANGE=黄河路至纬五路|LEVEL=严重拥堵,当前需要根据时段切换约束进行路径规划。 请优先按当前生效约束理解，不要被已解除或背景信息误导。 早高峰07:00-09:00花园路向南排队长度明显增加；花园路向南当前时间10:40，已恢复正常 若描述里同时出现历史状态和当前状态，应以当前时段为准。 导航播报中还提到相邻商圈有出库车流，但不直接改变本段主判断。 气象部门提示傍晚仍有小雨，但目前并未形成新增积水。 部分播报会提到周边商圈或停车场信息，但主判断仍以道路方向、区间、时段和传播范围为核心。
val_anti_truncation:103,val_anti_truncation,103,propagation_range,long,2,2,False,False,False,0.98,2,2,1.5766,0.0,0.0,0.0,100.0,100.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.1958,0.0,0.0,100.0,100.0,0.1958,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2278,1.535,1.535,100.0,100.0,0.2278,1.535,1.535,0.0,0.0,<think>\nscene=propagation_range\nanchor_count=2\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nANCHOR|ROAD=花园路|DIR=向北|RANGE=农业路至红专路|LEVEL=严重拥堵\nANCHOR|ROAD=红专路|DIR=向西|RANGE=经六路至经八路|LEVEL=中度拥堵,当前需要根据传播范围与外溢进行路径规划。 请优先按当前生效约束理解，不要被已解除或背景信息误导。 花园路农业路至红专路段向北追尾事故严重拥堵；红专路经六路至经八路段向西中度拥堵缓行 若有排队外溢，应注意主事件与波及范围不是同一强度。 其余未明确提及路段按常态理解，不要额外扩大影响范围。
val_anti_truncation:104,val_anti_truncation,104,temporal_switch,noisy_long,1,1,False,False,False,0.98,1,1,1.1186,0.0,0.0,0.0,100.0,100.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.1979,0.0,0.0,100.0,100.0,0.1979,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2189,2.01,2.01,100.0,100.0,0.2189,2.01,2.01,0.0,0.0,<think>\nscene=temporal_switch\nanchor_count=1\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nANCHOR|ROAD=经八路|DIR=向北|RANGE=农业路至红专路|LEVEL=严重拥堵,当前需要根据时段切换约束进行路径规划。 请优先按当前生效约束理解，不要被已解除或背景信息误导。 早高峰07:00-09:00经八路向北车流积压严重拥堵；经八路向北09:30后恢复正常 若描述里同时出现历史状态和当前状态，应以当前时段为准。 导航播报中还提到相邻商圈有出库车流，但不直接改变本段主判断。 导航播报中还提到相邻商圈有出库车流，但不直接改变本段主判断。 部分播报会提到周边商圈或停车场信息，但主判断仍以道路方向、区间、时段和传播范围为核心。
val_anti_truncation:105,val_anti_truncation,105,propagation_range,noisy_long,2,2,False,False,False,0.98,2,2,1.5771,0.0,0.0,0.0,100.0,100.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.1958,0.0,0.0,100.0,100.0,0.1958,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2278,1.535,1.535,100.0,100.0,0.2278,1.535,1.535,0.0,0.0,<think>\nscene=propagation_range\nanchor_count=2\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nANCHOR|ROAD=黄河路|DIR=向西|RANGE=经六路至经八路|LEVEL=严重拥堵\nANCHOR|ROAD=花园路|DIR=向南|RANGE=农业路至红专路|LEVEL=中度拥堵,当前需要根据传播范围与外溢进行路径规划。 请优先按当前生效约束理解，不要被已解除或背景信息误导。 黄河路经六路至经八路段向西车流积压严重拥堵；花园路农业路至红专路段向南中度拥堵缓行 若有排队外溢，应注意主事件与波及范围不是同一强度。 导航播报中还提到相邻商圈有出库车流，但不直接改变本段主判断。 交警提醒周边停车场正在分流车辆，不过主路仍可通行。 部分播报会提到周边商圈或停车场信息，但主判断仍以道路方向、区间、时段和传播范围为核心。
val_anti_truncation:106,val_anti_truncation,106,propagation_range,noisy_long,3,3,False,False,False,0.98,2,3,1.5609,0.0,0.0,0.0,100.0,100.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.1938,0.0,0.0,100.0,100.0,0.1938,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2158,0.7067,0.7067,100.0,100.0,0.2158,0.7067,0.7067,0.0,0.0,<think>\nscene=propagation_range\nanchor_count=2\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nANCHOR|ROAD=花园路|DIR=向南|RANGE=农业路至红专路|LEVEL=封闭\nANCHOR|ROAD=红专路|DIR=向西|RANGE=经六路至花园路|LEVEL=中度拥堵,当前需要根据传播范围与外溢进行路径规划。 请优先按当前生效约束理解，不要被已解除或背景信息误导。 花园路农业路至红专路段向南事故处置封闭；红专路经六路至花园路段向西中度拥堵缓行；花园路红专路至政七街段向南交通基本正常 若有排队外溢，应注意主事件与波及范围不是同一强度。 交警提醒周边停车场正在分流车辆，不过主路仍可通行。 气象部门提示傍晚仍有小雨，但目前并未形成新增积水。 部分播报会提到周边商圈或停车场信息，但主判断仍以道路方向、区间、时段和传播范围为核心。
