path,scope,evidence_role,legacy_field_or_phrase,action_taken,final_status,notes
/root/autodl-tmp/results/defense,target_directory,expected_main_evidence_dir,n/a,directory_not_found,not_found,No standalone defense directory exists; defense audit used results/paper_ready/defense_summary.md and results/maps/final_folium_defense_notes.md instead.
/root/autodl-tmp/results/paper_ready/main_results.csv,paper_ready,main_evidence,Avg SUMO Time (s); Avg Inference Time (s); Avg Planning Time (ms),replaced_with_protocol_fields,cleaned_to_protocol,Now uses Travel Time (s); model_infer_time_s; route_solve_time_s; Planning Time (s).
/root/autodl-tmp/results/paper_ready/main_results.md,paper_ready,main_evidence,Avg SUMO Time (s); Avg Inference Time (s); Avg Planning Time (ms),replaced_with_protocol_fields,cleaned_to_protocol,Narrative and table updated to protocol wording and formula.
/root/autodl-tmp/results/paper_ready/main_results.tex,paper_ready,main_evidence,Avg SUMO Time (s); Avg Inference Time (s); Avg Planning Time (ms),replaced_with_protocol_fields,cleaned_to_protocol,TeX table headers and values updated to protocol wording and formula.
/root/autodl-tmp/results/paper_ready/appendix_full_table.csv,paper_ready,appendix_supporting_evidence,SUMO Time (s); Inference Time (s); Planning Time (ms),replaced_with_protocol_fields,cleaned_to_protocol,Planning Time (s) added as derived total = model_infer_time_s + route_solve_time_s.
/root/autodl-tmp/results/paper_ready/final_main_results.csv,paper_ready,main_evidence,Inference Time (s); legacy-misnamed Planning Time (s),recomputed_and_renamed,cleaned_to_protocol,Old Planning Time column corrected to route_solve_time_s; new Planning Time (s) recomputed.
/root/autodl-tmp/results/paper_ready/final_ablation_results.csv,paper_ready,main_evidence,Inference Time (s); legacy-misnamed Planning Time (s),recomputed_and_renamed,cleaned_to_protocol,Old Planning Time column corrected to route_solve_time_s; new Planning Time (s) recomputed.
/root/autodl-tmp/results/final_tables/method_comparison.csv,final_tables,main_evidence,Inference Time (s); legacy-misnamed Planning Time (s),recomputed_and_renamed,cleaned_to_protocol,"Method comparison table now uses Travel Time (s), model_infer_time_s, route_solve_time_s, and Planning Time (s)."
/root/autodl-tmp/results/final_tables/ablation_study.csv,final_tables,appendix_supporting_evidence,Inference Time (s); legacy-misnamed Planning Time (s),recomputed_and_renamed,cleaned_to_protocol,"Ablation table now uses Travel Time (s), model_infer_time_s, route_solve_time_s, and Planning Time (s)."
/root/autodl-tmp/results/paper_ready/defense_summary.md,paper_ready,defense_narrative,SUMO 行程时间; 推理时间/规划时间混口径,reworded_to_protocol,cleaned_to_protocol,"Uses Travel Time (s), model_infer_time_s, route_solve_time_s, and Planning Time (s)."
/root/autodl-tmp/results/paper_ready/experiment_analysis.md,paper_ready,paper_narrative,SUMO 时间; true_travel_time ambiguity; planning/inference mixed wording,reworded_to_protocol,cleaned_to_protocol,Now explicitly states true_travel_time must only survive as analytical_travel_time_s_legacy.
/root/autodl-tmp/results/paper_ready/delta_analysis.md,paper_ready,appendix_analysis,ΔSUMO Time (s); ΔInference Time (s),reworded_to_protocol,cleaned_to_protocol,Uses ΔTravel Time (s) and Δmodel_infer_time_s; route_solve_time_s deltas explicitly omitted as negligible.
/root/autodl-tmp/results/paper_ready/gat_case_analysis.md,paper_ready,appendix_analysis,sumo_time_delta,reworded_to_protocol,cleaned_to_protocol,Uses travel_time_delta under the Travel Time (s) definition.
/root/autodl-tmp/results/paper_ready/final_method_notes.md,paper_ready,policy_note,Planning Time (s)/Travel Time (s) only,expanded_protocol_note,cleaned_to_protocol,"Now explicitly includes model_infer_time_s, route_solve_time_s, and analytical_travel_time_s_legacy."
/root/autodl-tmp/results/final_tables/field_name_mapping.md,final_tables,mapping_doc,true_travel_time mis-mapped to Travel Time (s); Planning Time (ms) mis-mapped,corrected_mapping,legacy_mapping_documented,true_travel_time now maps only to analytical_travel_time_s_legacy.
/root/autodl-tmp/results/final_tables/table_notes.md,final_tables,mapping_doc,Planning Time (ms) treated as Planning Time (s); true_travel_time treated as SUMO travel time,corrected_mapping,legacy_mapping_documented,Protocol distinction and legacy rules are now explicit.
/root/autodl-tmp/results/maps/final_folium_defense_notes.md,maps,defense_support,route travel time under scenario truth,retained_as_legacy_with_note,legacy_retained_with_warning,Renamed to analytical_travel_time_s_legacy and explicitly marked not for main-evidence citation.
/root/autodl-tmp/code/app_fixed.py,code,display_text_and_output_aliases,plan_ms/time_s/sumo_time docstring; travel_time/infer_time output aliases,annotated_legacy_aliases,legacy_retained_with_warning,Protocol fields remain canonical; legacy aliases are kept only for backward-compatible readers.
/root/autodl-tmp/code/evaluate.py,code,legacy_evaluator,plan_ms; true_travel_time,kept_as_legacy_generator,legacy_not_for_main_evidence,Analytical evaluator retained; outputs must not be cited as live SUMO main evidence.
/root/autodl-tmp/code/results/eval_summary.csv,code/results,legacy_result_artifact,plan_ms; true_travel_time,kept_unmodified_as_legacy,not_recommended_for_main_evidence,Historical evaluator output retained for traceability only.
/root/autodl-tmp/results/eval_summary.csv,results,legacy_result_artifact,planning_ms; plan_ms; true_travel_time,kept_unmodified_as_legacy,not_recommended_for_main_evidence,Historical raw summary with mixed timing semantics retained for traceability only.
/root/autodl-tmp/results/runs/**/metrics.csv,results/runs,legacy_result_artifact_group,planning_ms; plan_ms; time_s; sumo_time; true_travel_time,kept_unmodified_as_legacy,not_recommended_for_main_evidence,24 run metric files remain as raw artifacts for provenance only.
/root/autodl-tmp/results/runs/**/eval_report.txt,results/runs,legacy_result_artifact_group,plan_ms; infer_ms; sim_ms text summaries,kept_unmodified_as_legacy,not_recommended_for_main_evidence,24 run reports retain historical wording and should not be quoted as primary evidence.
/root/autodl-tmp/results/runs/**/summary.json,results/runs,legacy_result_artifact_group,avg_plan_ms; avg_true_travel_time,kept_unmodified_as_legacy,not_recommended_for_main_evidence,24 summary artifacts remain raw and are not protocolized paper evidence.
/root/autodl-tmp/results/runs/**/config_snapshot.json,results/runs,legacy_result_artifact_group,planning_ms/plan_ms timing policy text,kept_unmodified_as_legacy,not_recommended_for_main_evidence,24 config snapshots kept for provenance; historical timing wording retained.
/root/autodl-tmp/results/runs/**/compare_results.json,results/runs,legacy_result_artifact_group,planning_ms; plan_ms; time_s; sumo_time,kept_unmodified_as_legacy,not_recommended_for_main_evidence,10 compare-results artifacts kept for provenance only.
/root/autodl-tmp/code/.ipynb_checkpoints/**,code,checkpoint_artifacts,plan_ms; true_travel_time; infer_time; travel_time,ignored_autosave_legacy,not_recommended_for_main_evidence,Autosave checkpoints were not cleaned because they are not authoritative sources.
/root/autodl-tmp/code/sim_eval_protocol.py,code,protocol_reference,legacy field mapping table,kept_as_authoritative_mapping,allowed_legacy_mapping_reference,This file intentionally documents legacy-to-protocol mappings and is the authoritative reference.
