model,scene,scene_type,variant,complexity_level,prompt_chars,prompt_tokens,used_tokens,max_length,truncated,parse_failure,parsed_edges,parsed_edge_ratio,signal_edges,signal_ratio,infer_time_s,total_ms,anchor_count,parse_confidence
Qwen-LoRA,场景A 黄河路单向拥堵,simple_local,short,1,207,72,72,4096,0,0,98,100.0,67,68.4,20.202,20202.57,0,0.0
Qwen-LoRA,场景A 黄河路单向拥堵,simple_local,medium,2,943,518,518,4096,0,0,98,100.0,67,68.4,18.716,18717.56,0,0.0
Qwen-LoRA,场景A 黄河路单向拥堵,simple_local,long,3,4539,2705,2705,4096,0,0,98,100.0,67,68.4,18.54,18546.08,0,0.0
Qwen-LoRA,场景A 黄河路单向拥堵,simple_local,noisy_long,4,9922,5997,4096,4096,1,1,0,0.0,0,0.0,2.106,2117.9,0,0.0
Qwen-LoRA,场景B 花园路封闭绕行,core_blockage,short,1,202,70,70,4096,0,0,98,100.0,67,68.4,19.485,19485.59,0,0.0
Qwen-LoRA,场景B 花园路封闭绕行,core_blockage,medium,2,938,516,516,4096,0,0,98,100.0,67,68.4,18.708,18709.11,0,0.0
Qwen-LoRA,场景B 花园路封闭绕行,core_blockage,long,3,4534,2703,2703,4096,0,0,98,100.0,67,68.4,18.941,18946.89,0,0.0
Qwen-LoRA,场景B 花园路封闭绕行,core_blockage,noisy_long,4,9917,5995,4096,4096,1,1,0,0.0,0,0.0,2.207,2222.68,0,0.0
Qwen-LoRA,场景C 多路段复合拥堵,compound_disaster,short,1,204,69,69,4096,0,0,17,17.3,17,17.3,12.094,12095.16,0,0.0
Qwen-LoRA,场景C 多路段复合拥堵,compound_disaster,medium,2,940,515,515,4096,0,0,17,17.3,17,17.3,11.609,11611.4,0,0.0
Qwen-LoRA,场景C 多路段复合拥堵,compound_disaster,long,3,4536,2702,2702,4096,0,0,21,21.4,21,21.4,11.677,11683.3,0,0.0
Qwen-LoRA,场景C 多路段复合拥堵,compound_disaster,noisy_long,4,9919,5994,4096,4096,1,1,0,0.0,0,0.0,2.239,2250.44,0,0.0
Qwen-LoRA,场景D 中央核心节点封锁（强迫大范围绕行）,compound_disaster,short,1,226,86,86,4096,0,0,54,55.1,54,55.1,9.572,9572.95,0,0.0
Qwen-LoRA,场景D 中央核心节点封锁（强迫大范围绕行）,compound_disaster,medium,2,962,532,532,4096,0,0,98,100.0,74,75.5,20.897,20898.42,0,0.0
Qwen-LoRA,场景D 中央核心节点封锁（强迫大范围绕行）,compound_disaster,long,3,4558,2719,2719,4096,0,0,18,18.4,18,18.4,17.852,17857.52,0,0.0
Qwen-LoRA,场景D 中央核心节点封锁（强迫大范围绕行）,compound_disaster,noisy_long,4,9941,6011,4096,4096,1,1,0,0.0,0,0.0,2.105,2115.38,0,0.0
Qwen-LoRA,场景E 不对称方向拥堵（测试模型方向提取能力）,directional_asymmetry,short,1,208,73,73,4096,0,0,98,100.0,69,70.4,19.266,19266.64,0,0.0
Qwen-LoRA,场景E 不对称方向拥堵（测试模型方向提取能力）,directional_asymmetry,medium,2,944,519,519,4096,0,1,0,0.0,0,0.0,18.929,18931.03,0,0.0
Qwen-LoRA,场景E 不对称方向拥堵（测试模型方向提取能力）,directional_asymmetry,long,3,4540,2706,2706,4096,0,0,98,100.0,74,75.5,18.684,18689.2,0,0.0
Qwen-LoRA,场景E 不对称方向拥堵（测试模型方向提取能力）,directional_asymmetry,noisy_long,4,9923,5998,4096,4096,1,1,0,0.0,0,0.0,2.128,2139.46,0,0.0
Qwen-LoRA,场景F 大规模复合灾害（极限压力测试）,compound_disaster,short,1,233,91,91,4096,0,0,50,51.0,50,51.0,12.85,12851.56,0,0.0
Qwen-LoRA,场景F 大规模复合灾害（极限压力测试）,compound_disaster,medium,2,969,537,537,4096,0,0,25,25.5,25,25.5,13.249,13250.52,0,0.0
Qwen-LoRA,场景F 大规模复合灾害（极限压力测试）,compound_disaster,long,3,4565,2724,2724,4096,0,0,98,100.0,71,72.4,20.76,20764.96,0,0.0
Qwen-LoRA,场景F 大规模复合灾害（极限压力测试）,compound_disaster,noisy_long,4,9948,6016,4096,4096,1,1,0,0.0,0,0.0,2.155,2166.96,0,0.0
