sample_id,split,scene_type,strict_fail,failure_type,audit_bucket,semantic_gap_subtype,pred_matches_gt_label,format_issue,no_anchor,parse_fail,strict_parse_fail,strict_failure_reason,no_anchor_when_gt_changed,target_miss,changed_edge_miss,gt_changed_edge_count,gt_target_edge_count,active_changed_event_count,active_changed_edge_count_derived,unanchored_changed_event_count,unanchored_changed_edge_count,target_recall,gt_changed_edge_recall,active_changed_levels,unanchored_changed_levels,active_changed_event_texts,unanchored_changed_event_texts,input_text,gt_label,pred_text
val_normal:0,val_normal,simple_local,True,changed_edge_miss,label_semantic_gap,anomaly_plus_normal_side_event,True,False,False,False,False,ok,False,False,True,2,1,2,2,1,1,100.0,50.0,中度拥堵|畅通,畅通,经一路红专路至政七街段向南中度拥堵缓行 || 政七街经八路至花园路段向东畅通无阻,政七街经八路至花园路段向东畅通无阻,常态或局部短时事件：经一路红专路至政七街段向南中度拥堵缓行；政七街经八路至花园路段向东畅通无阻,"<think>
scene=simple_local
anchor_count=1
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
ANCHOR|ROAD=经一路|DIR=向南|RANGE=红专路至政七街|LEVEL=中度拥堵","<think>
scene=simple_local
anchor_count=1
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
ANCHOR|ROAD=经一路|DIR=向南|RANGE=红专路至政七街|LEVEL=中度拥堵"
val_normal:1,val_normal,simple_local,True,no_anchor,label_semantic_gap,relief_normal_single_edge,True,False,True,False,True,no_anchor_with_changed_edges,True,False,True,1,0,1,1,1,1,0.0,0.0,畅通,畅通,经三路红专路至政七街段向南畅通无阻,经三路红专路至政七街段向南畅通无阻,常态或局部短时事件：经三路红专路至政七街段向南畅通无阻,"<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR","<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR"
val_normal:3,val_normal,simple_local,True,no_anchor,label_semantic_gap,relief_normal_single_edge,True,False,True,False,True,no_anchor_with_changed_edges,True,False,True,1,0,1,1,1,1,0.0,0.0,畅通,畅通,经一路农业路至红专路段向南车流顺畅,经一路农业路至红专路段向南车流顺畅,经一路农业路至红专路段向南车流顺畅,"<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR","<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR"
val_normal:5,val_normal,simple_local,True,no_anchor,label_semantic_gap,relief_normal_short_range,True,False,True,False,True,no_anchor_with_changed_edges,True,False,True,2,0,1,2,1,2,0.0,0.0,畅通,畅通,花园路政七街至纬五路段向北畅通无阻,花园路政七街至纬五路段向北畅通无阻,常态或局部短时事件：花园路政七街至纬五路段向北畅通无阻,"<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR","<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR"
val_normal:6,val_normal,simple_local,True,no_anchor,label_semantic_gap,relief_normal_short_range,True,False,True,False,True,no_anchor_with_changed_edges,True,False,True,2,0,1,2,1,2,0.0,0.0,畅通,畅通,红专路经八路至未来路段向东畅通无阻,红专路经八路至未来路段向东畅通无阻,红专路经八路至未来路段向东畅通无阻,"<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR","<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR"
val_normal:13,val_normal,simple_local,True,no_anchor,label_semantic_gap,relief_normal_short_range,True,False,True,False,True,no_anchor_with_changed_edges,True,False,True,2,0,1,2,1,2,0.0,0.0,畅通,畅通,经六路农业路至政七街段向南畅通无阻,经六路农业路至政七街段向南畅通无阻,常态或局部短时事件：经六路农业路至政七街段向南畅通无阻,"<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR","<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR"
val_normal:18,val_normal,simple_local,True,no_anchor,label_semantic_gap,multi_edge_relief,True,False,True,False,True,no_anchor_with_changed_edges,True,False,True,3,0,1,3,1,3,0.0,0.0,畅通,畅通,黄河路经六路至未来路段向西畅通无阻,黄河路经六路至未来路段向西畅通无阻,黄河路经六路至未来路段向西畅通无阻,"<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR","<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR"
val_normal:20,val_normal,simple_local,True,no_anchor,label_semantic_gap,relief_normal_single_edge,True,False,True,False,True,no_anchor_with_changed_edges,True,False,True,1,0,1,1,1,1,0.0,0.0,畅通,畅通,农业路经三路至经六路段向西车流顺畅,农业路经三路至经六路段向西车流顺畅,农业路经三路至经六路段向西车流顺畅,"<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR","<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR"
val_normal:25,val_normal,simple_local,True,no_anchor,label_semantic_gap,relief_normal_single_edge,True,False,True,False,True,no_anchor_with_changed_edges,True,False,True,1,0,1,1,1,1,0.0,0.0,畅通,畅通,农业路花园路至未来路段向西车流顺畅,农业路花园路至未来路段向西车流顺畅,农业路花园路至未来路段向西车流顺畅,"<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR","<think>
scene=simple_local
anchor_count=0
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
NO_ANCHOR"
val_normal:26,val_normal,simple_local,True,changed_edge_miss,label_semantic_gap,anomaly_plus_normal_side_event,True,False,False,False,False,ok,False,False,True,2,1,2,2,1,1,100.0,50.0,严重拥堵|畅通,畅通,政七街经三路至经六路段向东排队长度明显增加 || 经一路红专路至政七街段向北畅通无阻,经一路红专路至政七街段向北畅通无阻,常态或局部短时事件：政七街经三路至经六路段向东排队长度明显增加；经一路红专路至政七街段向北畅通无阻,"<think>
scene=simple_local
anchor_count=1
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
ANCHOR|ROAD=政七街|DIR=向东|RANGE=经三路至经六路|LEVEL=严重拥堵","<think>
scene=simple_local
anchor_count=1
仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。
</think>
ANCHOR|ROAD=政七街|DIR=向东|RANGE=经三路至经六路|LEVEL=严重拥堵"
