scene,scene_type,baseline_metric,method,delta_vs_sparse,status
场景A 黄河路单向拥堵,simple_local,path_cost,Sparse-LoRA+Always-GAT,2.82,negative
场景A 黄河路单向拥堵,simple_local,path_cost,Sparse-LoRA+Gated-GAT,2.64,negative
场景B 花园路封闭绕行,core_blockage,path_cost,Sparse-LoRA+Always-GAT,2.97,negative
场景B 花园路封闭绕行,core_blockage,path_cost,Sparse-LoRA+Gated-GAT,2.97,negative
场景C 多路段复合拥堵,compound_disaster,path_cost,Sparse-LoRA+Always-GAT,0.61,tie
场景C 多路段复合拥堵,compound_disaster,path_cost,Sparse-LoRA+Gated-GAT,0.61,tie
场景D 中央核心节点封锁（强迫大范围绕行）,core_blockage,path_cost,Sparse-LoRA+Always-GAT,2.7,negative
场景D 中央核心节点封锁（强迫大范围绕行）,core_blockage,path_cost,Sparse-LoRA+Gated-GAT,3.79,negative
场景E 不对称方向拥堵（测试模型方向提取能力）,directional_asymmetry,path_cost,Sparse-LoRA+Always-GAT,4.39,negative
场景E 不对称方向拥堵（测试模型方向提取能力）,directional_asymmetry,path_cost,Sparse-LoRA+Gated-GAT,4.65,negative
场景F 大规模复合灾害（极限压力测试）,compound_disaster,path_cost,Sparse-LoRA+Always-GAT,1.68,negative
场景F 大规模复合灾害（极限压力测试）,compound_disaster,path_cost,Sparse-LoRA+Gated-GAT,1.68,negative
特殊场景S1 核心封锁+外溢排队,core_blockage,path_cost,Sparse-LoRA+Always-GAT,2.73,negative
特殊场景S1 核心封锁+外溢排队,core_blockage,path_cost,Sparse-LoRA+Gated-GAT,2.73,negative
特殊场景S2 活动管制+方向不对称,directional_asymmetry,path_cost,Sparse-LoRA+Always-GAT,4.31,negative
特殊场景S2 活动管制+方向不对称,directional_asymmetry,path_cost,Sparse-LoRA+Gated-GAT,4.31,negative
特殊场景S3 局部锚点+拓扑传播,compound_disaster,path_cost,Sparse-LoRA+Always-GAT,4.48,negative
特殊场景S3 局部锚点+拓扑传播,compound_disaster,path_cost,Sparse-LoRA+Gated-GAT,4.48,negative
